File Name;Binding Energy;PDBQT Path;;Водородная связь;Солевой мостик;Пи-пи взяимодействие;Т-взаимодействие;Катион-пи вз-е;Галогеновое вз-е
ligand_486_receptor.dpf.dlg;89,07;;;;;;;;
ligand_65_receptor.dpf.dlg;89,15;;;;;;;;
ligand_123_receptor.dpf.dlg;91,56;;;;;;;;
ligand_43_receptor.dpf.dlg;92,45;;;;;;;;
ligand_117_receptor.dpf.dlg;96,42;;;;;;;;
ligand_89_receptor.dpf.dlg;108,42;;;;;;;;
ligand_523_receptor.dpf.dlg;118,40;;;;;;;;
ligand_172_receptor.dpf.dlg;120,45;;;;;;;;
ligand_125_receptor.dpf.dlg;126,40;;;;;;;;
ligand_283_receptor.dpf.dlg;126,91;;;;;;;;
ligand_258_receptor.dpf.dlg;127,42;;;;;;;;
ligand_32_receptor.dpf.dlg;131,82;;;;;;;;
ligand_181_receptor.dpf.dlg;135,31;;;;;;;;
ligand_279_receptor.dpf.dlg;141,42;;;;;;;;
ligand_46_receptor.dpf.dlg;144,80;;;;;;;;
ligand_187_receptor.dpf.dlg;144,87;;;;;;;;
ligand_267_receptor.dpf.dlg;146,94;;;;;;;;
ligand_540_receptor.dpf.dlg;154,56;;;;;;;;
ligand_353_receptor.dpf.dlg;183,60;;;;;;;;
ligand_520_receptor.dpf.dlg;189,43;;;;;;;;
ligand_135_receptor.dpf.dlg;192,80;;;;;;;;
ligand_59_receptor.dpf.dlg;204,72;;;;;;;;
ligand_300_receptor.dpf.dlg;205,73;;;;;;;;
ligand_488_receptor.dpf.dlg;206,14;;;;;;;;
ligand_222_receptor.dpf.dlg;210,13;;;;;;;;
ligand_524_receptor.dpf.dlg;214,85;;;;;;;;
ligand_388_receptor.dpf.dlg;216,75;;;;;;;;
ligand_191_receptor.dpf.dlg;223,07;;;;;;;;
ligand_19_receptor.dpf.dlg;226,87;;;;;;;;
ligand_288_receptor.dpf.dlg;233,09;;;;;;;;
ligand_83_receptor.dpf.dlg;236,33;;;;;;;;
ligand_129_receptor.dpf.dlg;240,04;;;;;;;;
ligand_350_receptor.dpf.dlg;242,62;;;;;;;;
ligand_37_receptor.dpf.dlg;245,36;;;;;;;;
ligand_467_receptor.dpf.dlg;245,91;;;;;;;;
ligand_508_receptor.dpf.dlg;251,71;;;;;;;;
ligand_260_receptor.dpf.dlg;256,11;;;;;;;;
ligand_138_receptor.dpf.dlg;257,50;;;;;;;;
ligand_268_receptor.dpf.dlg;277,54;;;;;;;;
ligand_158_receptor.dpf.dlg;282,86;;;;;;;;
ligand_205_receptor.dpf.dlg;284,48;;;;;;;;
ligand_270_receptor.dpf.dlg;289,91;;;;;;;;
ligand_452_receptor.dpf.dlg;296,08;;;;;;;;
ligand_247_receptor.dpf.dlg;299,63;;;;;;;;
ligand_148_receptor.dpf.dlg;337,44;;;;;;;;
ligand_3_receptor.dpf.dlg;337,73;;;;;;;;
ligand_131_receptor.dpf.dlg;348,78;;;;;;;;
ligand_251_receptor.dpf.dlg;366,87;;;;;;;;
ligand_2_receptor.dpf.dlg;425,59;;;;;;;;
ligand_405_receptor.dpf.dlg;430,46;;;;;;;;
ligand_39_receptor.dpf.dlg;437,74;;;;;;;;
ligand_74_receptor.dpf.dlg;446,64;;;;;;;;
ligand_430_receptor.dpf.dlg;447,14;;;;;;;;
ligand_103_receptor.dpf.dlg;452,79;;;;;;;;
ligand_255_receptor.dpf.dlg;460,48;;;;;;;;
ligand_525_receptor.dpf.dlg;484,33;;;;;;;;
ligand_38_receptor.dpf.dlg;509,38;;;;;;;;
ligand_196_receptor.dpf.dlg;540,66;;;;;;;;
ligand_471_receptor.dpf.dlg;559,59;;;;;;;;
ligand_73_receptor.dpf.dlg;598,22;;;;;;;;
ligand_340_receptor.dpf.dlg;601,50;;;;;;;;
ligand_151_receptor.dpf.dlg;604,94;;;;;;;;
ligand_189_receptor.dpf.dlg;605,08;;;;;;;;
ligand_443_receptor.dpf.dlg;611,44;;;;;;;;
ligand_400_receptor.dpf.dlg;614,83;;;;;;;;
ligand_237_receptor.dpf.dlg;631,19;;;;;;;;
ligand_92_receptor.dpf.dlg;645,52;;;;;;;;
ligand_365_receptor.dpf.dlg;657,41;;;;;;;;
ligand_236_receptor.dpf.dlg;659,46;;;;;;;;
ligand_107_receptor.dpf.dlg;675,77;;;;;;;;
ligand_325_receptor.dpf.dlg;734,70;;;;;;;;
ligand_108_receptor.dpf.dlg;755,14;;;;;;;;
ligand_30_receptor.dpf.dlg;760,98;;;;;;;;
ligand_218_receptor.dpf.dlg;769,17;;;;;;;;
ligand_428_receptor.dpf.dlg;773,17;;;;;;;;
ligand_303_receptor.dpf.dlg;801,24;;;;;;;;
ligand_304_receptor.dpf.dlg;801,87;;;;;;;;
ligand_352_receptor.dpf.dlg;824,34;;;;;;;;
ligand_457_receptor.dpf.dlg;877,54;;;;;;;;
ligand_498_receptor.dpf.dlg;881,65;;;;;;;;
ligand_401_receptor.dpf.dlg;918,37;;;;;;;;
ligand_379_receptor.dpf.dlg;928,29;;;;;;;;
ligand_195_receptor.dpf.dlg;973,92;;;;;;;;
ligand_184_receptor.dpf.dlg;1000,00;;;;;;;;
ligand_28_receptor.dpf.dlg;1160,00;;;;;;;;
ligand_297_receptor.dpf.dlg;1190,00;;;;;;;;
ligand_177_receptor.dpf.dlg;1220,00;;;;;;;;
ligand_60_receptor.dpf.dlg;1240,00;;;;;;;;
ligand_233_receptor.dpf.dlg;1250,00;;;;;;;;
ligand_455_receptor.dpf.dlg;1260,00;;;;;;;;
ligand_122_receptor.dpf.dlg;1410,00;;;;;;;;
ligand_527_receptor.dpf.dlg;1420,00;;;;;;;;
ligand_528_receptor.dpf.dlg;1420,00;;;;;;;;
ligand_61_receptor.dpf.dlg;1430,00;;;;;;;;
ligand_241_receptor.dpf.dlg;1470,00;;;;;;;;
ligand_175_receptor.dpf.dlg;1540,00;;;;;;;;
ligand_374_receptor.dpf.dlg;1640,00;;;;;;;;
ligand_521_receptor.dpf.dlg;1720,00;;;;;;;;
ligand_6_receptor.dpf.dlg;1730,00;;;;;;;;
ligand_69_receptor.dpf.dlg;1740,00;;;;;;;;
ligand_271_receptor.dpf.dlg;1810,00;;;;;;;;
ligand_165_receptor.dpf.dlg;1870,00;;;;;;;;
ligand_264_receptor.dpf.dlg;1880,00;;;;;;;;
ligand_441_receptor.dpf.dlg;1940,00;;;;;;;;
ligand_82_receptor.dpf.dlg;2000,00;;;;;;;;
ligand_363_receptor.dpf.dlg;2060,00;;;;;;;;
ligand_248_receptor.dpf.dlg;2090,00;;;;;;;;
ligand_281_receptor.dpf.dlg;2110,00;;;;;;;;
ligand_212_receptor.dpf.dlg;2210,00;;;;;;;;
ligand_239_receptor.dpf.dlg;2310,00;;;;;;;;
ligand_221_receptor.dpf.dlg;2350,00;;;;;;;;
ligand_289_receptor.dpf.dlg;2350,00;;;;;;;;
ligand_119_receptor.dpf.dlg;2480,00;;;;;;;;
ligand_200_receptor.dpf.dlg;2580,00;;;;;;;;
ligand_375_receptor.dpf.dlg;2600,00;;;;;;;;
ligand_334_receptor.dpf.dlg;2640,00;;;;;;;;
ligand_335_receptor.dpf.dlg;2640,00;;;;;;;;
ligand_96_receptor.dpf.dlg;2700,00;;;;;;;;
ligand_434_receptor.dpf.dlg;2780,00;;;;;;;;
ligand_209_receptor.dpf.dlg;2830,00;;;;;;;;
ligand_93_receptor.dpf.dlg;2870,00;;;;;;;;
ligand_166_receptor.dpf.dlg;2920,00;;;;;;;;
ligand_153_receptor.dpf.dlg;3030,00;;;;;;;;
ligand_460_receptor.dpf.dlg;3120,00;;;;;;;;
ligand_35_receptor.dpf.dlg;3140,00;;;;;;;;
ligand_13_receptor.dpf.dlg;3250,00;;;;;;;;
ligand_329_receptor.dpf.dlg;3310,00;;;;;;;;
ligand_503_receptor.dpf.dlg;3420,00;;;;;;;;
ligand_519_receptor.dpf.dlg;3580,00;;;;;;;;
ligand_312_receptor.dpf.dlg;3690,00;;;;;;;;
ligand_444_receptor.dpf.dlg;4090,00;;;;;;;;
ligand_100_receptor.dpf.dlg;4170,00;;;;;;;;
ligand_155_receptor.dpf.dlg;4170,00;;;;;;;;
ligand_345_receptor.dpf.dlg;4320,00;;;;;;;;
ligand_361_receptor.dpf.dlg;4450,00;;;;;;;;
ligand_198_receptor.dpf.dlg;4500,00;;;;;;;;
ligand_197_receptor.dpf.dlg;4520,00;;;;;;;;
ligand_294_receptor.dpf.dlg;4550,00;;;;;;;;
ligand_357_receptor.dpf.dlg;4670,00;;;;;;;;
ligand_366_receptor.dpf.dlg;4950,00;;;;;;;;
ligand_33_receptor.dpf.dlg;5230,00;;;;;;;;
ligand_70_receptor.dpf.dlg;5310,00;;;;;;;;
ligand_475_receptor.dpf.dlg;5420,00;;;;;;;;
ligand_245_receptor.dpf.dlg;5570,00;;;;;;;;
ligand_246_receptor.dpf.dlg;5600,00;;;;;;;;
ligand_537_receptor.dpf.dlg;5610,00;;;;;;;;
ligand_333_receptor.dpf.dlg;5750,00;;;;;;;;
ligand_149_receptor.dpf.dlg;5770,00;;;;;;;;
ligand_328_receptor.dpf.dlg;5770,00;;;;;;;;
ligand_101_receptor.dpf.dlg;5830,00;;;;;;;;
ligand_102_receptor.dpf.dlg;5830,00;;;;;;;;
ligand_280_receptor.dpf.dlg;6110,00;;;;;;;;
ligand_186_receptor.dpf.dlg;6160,00;;;;;;;;
ligand_474_receptor.dpf.dlg;6360,00;;;;;;;;
ligand_302_receptor.dpf.dlg;6380,00;;;;;;;;
ligand_449_receptor.dpf.dlg;6410,00;;;;;;;;
ligand_94_receptor.dpf.dlg;6470,00;;;;;;;;
ligand_347_receptor.dpf.dlg;7050,00;;;;;;;;
ligand_36_receptor.dpf.dlg;7240,00;;;;;;;;
ligand_343_receptor.dpf.dlg;7390,00;;;;;;;;
ligand_217_receptor.dpf.dlg;7550,00;;;;;;;;
ligand_194_receptor.dpf.dlg;7760,00;;;;;;;;
ligand_44_receptor.dpf.dlg;8200,00;;;;;;;;
ligand_41_receptor.dpf.dlg;8260,00;;;;;;;;
ligand_538_receptor.dpf.dlg;8350,00;;;;;;;;
ligand_438_receptor.dpf.dlg;8420,00;;;;;;;;
ligand_254_receptor.dpf.dlg;8630,00;;;;;;;;
ligand_317_receptor.dpf.dlg;8690,00;;;;;;;;
ligand_501_receptor.dpf.dlg;8950,00;;;;;;;;
ligand_67_receptor.dpf.dlg;9420,00;;;;;;;;
ligand_11_receptor.dpf.dlg;9440,00;;;;;;;;
ligand_376_receptor.dpf.dlg;9450,00;;;;;;;;
ligand_5_receptor.dpf.dlg;9460,00;;;;;;;;
ligand_145_receptor.dpf.dlg;10200,00;;;;;;;;
ligand_387_receptor.dpf.dlg;10200,00;;;;;;;;
ligand_204_receptor.dpf.dlg;10400,00;;;;;;;;
ligand_130_receptor.dpf.dlg;11700,00;;;;;;;;
ligand_168_receptor.dpf.dlg;11700,00;;;;;;;;
ligand_8_receptor.dpf.dlg;11800,00;;;;;;;;
ligand_415_receptor.dpf.dlg;12000,00;;;;;;;;
ligand_51_receptor.dpf.dlg;12200,00;;;;;;;;
ligand_170_receptor.dpf.dlg;12900,00;;;;;;;;
ligand_182_receptor.dpf.dlg;13000,00;;;;;;;;
ligand_225_receptor.dpf.dlg;13200,00;;;;;;;;
ligand_448_receptor.dpf.dlg;13300,00;;;;;;;;
ligand_20_receptor.dpf.dlg;13800,00;;;;;;;;
ligand_98_receptor.dpf.dlg;15100,00;;;;;;;;
ligand_495_receptor.dpf.dlg;16100,00;;;;;;;;
ligand_77_receptor.dpf.dlg;16300,00;;;;;;;;
ligand_442_receptor.dpf.dlg;16400,00;;;;;;;;
ligand_169_receptor.dpf.dlg;16500,00;;;;;;;;
ligand_487_receptor.dpf.dlg;16800,00;;;;;;;;
ligand_364_receptor.dpf.dlg;18200,00;;;;;;;;
ligand_314_receptor.dpf.dlg;18400,00;;;;;;;;
ligand_31_receptor.dpf.dlg;18400,00;;;;;;;;
ligand_319_receptor.dpf.dlg;18900,00;;;;;;;;
ligand_128_receptor.dpf.dlg;19000,00;;;;;;;;
ligand_396_receptor.dpf.dlg;19100,00;;;;;;;;
ligand_133_receptor.dpf.dlg;19200,00;;;;;;;;
ligand_157_receptor.dpf.dlg;19300,00;;;;;;;;
ligand_159_receptor.dpf.dlg;20100,00;;;;;;;;
ligand_509_receptor.dpf.dlg;20800,00;;;;;;;;
ligand_485_receptor.dpf.dlg;21400,00;;;;;;;;
ligand_97_receptor.dpf.dlg;21800,00;;;;;;;;
ligand_395_receptor.dpf.dlg;22200,00;;;;;;;;
ligand_417_receptor.dpf.dlg;24100,00;;;;;;;;
ligand_7_receptor.dpf.dlg;24800,00;;;;;;;;
ligand_431_receptor.dpf.dlg;25000,00;;;;;;;;
ligand_310_receptor.dpf.dlg;25900,00;;;;;;;;
ligand_413_receptor.dpf.dlg;25900,00;;;;;;;;
ligand_426_receptor.dpf.dlg;26700,00;;;;;;;;
ligand_64_receptor.dpf.dlg;28700,00;;;;;;;;
ligand_389_receptor.dpf.dlg;29000,00;;;;;;;;
ligand_298_receptor.dpf.dlg;30000,00;;;;;;;;
ligand_531_receptor.dpf.dlg;30100,00;;;;;;;;
ligand_276_receptor.dpf.dlg;30700,00;;;;;;;;
ligand_392_receptor.dpf.dlg;30800,00;;;;;;;;
ligand_290_receptor.dpf.dlg;31700,00;;;;;;;;
ligand_9_receptor.dpf.dlg;32100,00;;;;;;;;
ligand_393_receptor.dpf.dlg;32300,00;;;;;;;;
ligand_179_receptor.dpf.dlg;32400,00;;;;;;;;
ligand_178_receptor.dpf.dlg;32600,00;;;;;;;;
ligand_45_receptor.dpf.dlg;33500,00;;;;;;;;
ligand_120_receptor.dpf.dlg;33700,00;;;;;;;;
ligand_50_receptor.dpf.dlg;34400,00;;;;;;;;
ligand_309_receptor.dpf.dlg;36200,00;;;;;;;;
ligand_308_receptor.dpf.dlg;36300,00;;;;;;;;
ligand_418_receptor.dpf.dlg;36500,00;;;;;;;;
ligand_483_receptor.dpf.dlg;37500,00;;;;;;;;
ligand_25_receptor.dpf.dlg;39500,00;;;;;;;;
ligand_336_receptor.dpf.dlg;39700,00;;;;;;;;
ligand_152_receptor.dpf.dlg;40400,00;;;;;;;;
ligand_144_receptor.dpf.dlg;41200,00;;;;;;;;
ligand_410_receptor.dpf.dlg;43900,00;;;;;;;;
ligand_435_receptor.dpf.dlg;44300,00;;;;;;;;
ligand_385_receptor.dpf.dlg;44400,00;;;;;;;;
ligand_349_receptor.dpf.dlg;54200,00;;;;;;;;
ligand_84_receptor.dpf.dlg;55800,00;;;;;;;;
ligand_4_receptor.dpf.dlg;56600,00;;;;;;;;
ligand_199_receptor.dpf.dlg;58300,00;;;;;;;;
ligand_17_receptor.dpf.dlg;59400,00;;;;;;;;
ligand_285_receptor.dpf.dlg;60800,00;;;;;;;;
ligand_394_receptor.dpf.dlg;61000,00;;;;;;;;
ligand_234_receptor.dpf.dlg;62500,00;;;;;;;;
ligand_386_receptor.dpf.dlg;63300,00;;;;;;;;
ligand_58_receptor.dpf.dlg;65600,00;;;;;;;;
ligand_342_receptor.dpf.dlg;68300,00;;;;;;;;
ligand_351_receptor.dpf.dlg;68500,00;;;;;;;;
ligand_478_receptor.dpf.dlg;70500,00;;;;;;;;
ligand_76_receptor.dpf.dlg;80400,00;;;;;;;;
ligand_29_receptor.dpf.dlg;84400,00;;;;;;;;
ligand_52_receptor.dpf.dlg;92900,00;;;;;;;;
ligand_53_receptor.dpf.dlg;99000,00;;;;;;;;
ligand_377_receptor.dpf.dlg;105000,00;;;;;;;;
ligand_409_receptor.dpf.dlg;106000,00;;;;;;;;
ligand_263_receptor.dpf.dlg;111000,00;;;;;;;;
ligand_132_receptor.dpf.dlg;118000,00;;;;;;;;
ligand_286_receptor.dpf.dlg;145000,00;;;;;;;;
ligand_359_receptor.dpf.dlg;165000,00;;;;;;;;
ligand_515_receptor.dpf.dlg;168000,00;;;;;;;;
ligand_481_receptor.dpf.dlg;170000,00;;;;;;;;
ligand_127_receptor.dpf.dlg;184000,00;;;;;;;;
ligand_423_receptor.dpf.dlg;189000,00;;;;;;;;
ligand_422_receptor.dpf.dlg;190000,00;;;;;;;;
ligand_424_receptor.dpf.dlg;190000,00;;;;;;;;
ligand_154_receptor.dpf.dlg;205000,00;;;;;;;;
ligand_273_receptor.dpf.dlg;205000,00;;;;;;;;
ligand_380_receptor.dpf.dlg;208000,00;;;;;;;;
ligand_397_receptor.dpf.dlg;217000,00;;;;;;;;
ligand_425_receptor.dpf.dlg;276000,00;;;;;;;;
ligand_253_receptor.dpf.dlg;288000,00;;;;;;;;
ligand_49_receptor.dpf.dlg;307000,00;;;;;;;;
ligand_499_receptor.dpf.dlg;316000,00;;;;;;;;
ligand_436_receptor.dpf.dlg;326000,00;;;;;;;;
ligand_461_receptor.dpf.dlg;328000,00;;;;;;;;
ligand_262_receptor.dpf.dlg;350000,00;;;;;;;;
ligand_462_receptor.dpf.dlg;350000,00;;;;;;;;
ligand_463_receptor.dpf.dlg;373000,00;;;;;;;;
ligand_48_receptor.dpf.dlg;382000,00;;;;;;;;
ligand_414_receptor.dpf.dlg;394000,00;;;;;;;;
ligand_399_receptor.dpf.dlg;416000,00;;;;;;;;
ligand_78_receptor.dpf.dlg;433000,00;;;;;;;;
ligand_75_receptor.dpf.dlg;478000,00;;;;;;;;
ligand_464_receptor.dpf.dlg;540000,00;;;;;;;;
